#code,#year,#emission,#population
AFG,2000,1047127.94,19542986
AFG,2001,1069098,19688634
AFG,2002,1340995,21000258
AFG,2003,1559602,22645136
AFG,2004,1237247,23553554
AFG,2005,1889507,24411196
AFG,2006,2159318,25442946
AFG,2007,2799909,25903306
AFG,2008,4254477,26427204
AFG,2009,6391888,27385310
AFG,2010,8364803.5,28189672
AFG,2011,11838316,29249156
AFG,2012,10035314,30466484
AFG,2013,9250510,31541216
AFG,2014,9170309,32716214
AFG,2015,9791093,33753500
AFG,2016,9067598,34636212
AFG,2017,9867969,35643420
AFG,2018,10818048,36686788
AFG,2019,11081621,37769496
AFG,2020,11888066,38972236
AFG,2021,12283148,40099460
ALB,2000,3024926,3182027
ALB,2001,3220656,3153615
ALB,2002,3748272,3123554
ALB,2003,4303499,3092993
ALB,2004,4176684,3062629
ALB,2005,4261413,3032636
ALB,2006,3910715,3003391
ALB,2007,3948970,2976089
ALB,2008,4397043,2951690
ALB,2009,4406552,2930553
ALB,2010,4783865,2913402
ALB,2011,5314676,2900660
ALB,2012,4850060,2892191
ALB,2013,5287465,2887019
ALB,2014,5999650,2884100
ALB,2015,4712144,2882482
ALB,2016,4631979,2881064
ALB,2017,5293048,2879361
ALB,2018,4894953,2877019
ALB,2019,4826944,2873883
ALB,2020,5018921,2866850
ALB,2021,4903652,2854710
DZA,2000,85398600,30774624
DZA,2001,86839250,31200984
DZA,2002,90692380,31624700
DZA,2003,94580616,32055882
DZA,2004,91714220,32510184
DZA,2005,110992510,32956690
DZA,2006,105896180,33435082
DZA,2007,109889440,33983836
DZA,2008,111087410,34569592
DZA,2009,118856330,35196040
DZA,2010,118353256,35856348
DZA,2011,125094570,36543548
DZA,2012,135674290,37260568
DZA,2013,140786380,38000628
DZA,2014,151282780,38760168
DZA,2015,160087460,39543148
DZA,2016,158481630,40339328
DZA,2017,165089600,41136548
DZA,2018,171276020,41927008
DZA,2019,178577220,42705372
DZA,2020,169892770,43451668
DZA,2021,180225200,44177964
AND,2000,523952,66116
AND,2001,523952,67841
AND,2002,531280,70868
AND,2003,534944,73929
AND,2004,560592,76950
AND,2005,575248,79845
AND,2006,545936,80241
AND,2007,538608,78187
AND,2008,538608,76073
AND,2009,516623.97,73879
AND,2010,516623.97,71542
AND,2011,490976,70587
AND,2012,487312,71035
AND,2013,476320,71385
AND,2014,461664,71644
AND,2015,465328,71766
AND,2016,468992,72563
AND,2017,465328,73853
AND,2018,494640,75034
AND,2019,483648,76361
AND,2020,373728,77723
AND,2021,363046,79057
AGO,2000,15995108,16394067
AGO,2001,15908461,16941584
AGO,2002,16080002,17516140
AGO,2003,17484428,18124346
AGO,2004,17015688,18771128
AGO,2005,15386819,19450962
AGO,2006,17144838,20162338
AGO,2007,17587936,20909692
AGO,2008,18750156,21691524
AGO,2009,20668332,22507674
AGO,2010,22983320,23364196
AGO,2011,23397032,24259120
AGO,2012,25940960,25188298
AGO,2013,25709742,26147012
AGO,2014,24767724,27128340
AGO,2015,26030358,28127724
AGO,2016,23992706,29154742
AGO,2017,22617028,30208634
AGO,2018,21434458,31273538
AGO,2019,19222174,32353592
AGO,2020,16764786,33428490
AGO,2021,17505714,34503776
AIA,2000,76944,11071
AIA,2001,84272,11367
AIA,2002,84272,11583
AIA,2003,87936,11761
AIA,2004,102592,11957
AIA,2005,109920,12149
AIA,2006,120912,12347
AIA,2007,124576,12546
AIA,2008,124576,12754
AIA,2009,124576,12970
AIA,2010,131904,13192
AIA,2011,124576,13363
AIA,2012,120912,13479
AIA,2013,117248,13727
AIA,2014,120912,14143
AIA,2015,139232,14554
AIA,2016,139232,14842
AIA,2017,128240.01,15040
AIA,2018,131904,15201
AIA,2019,146560,15408
AIA,2020,142896,15612
AIA,2021,137698,15779
ATG,2000,355408,75070
ATG,2001,370064,76227
ATG,2002,406704,77216
ATG,2003,428688,78095
ATG,2004,450672,78955
ATG,2005,479984,79879
ATG,2006,516623.97,80909
ATG,2007,534944,82035
ATG,2008,538608,83267
ATG,2009,556928,84546
ATG,2010,549600,85710
ATG,2011,545936,86749
ATG,2012,556928,87688
ATG,2013,556928,88512
ATG,2014,567920,89252
ATG,2015,582576,89958
ATG,2016,597232,90575
ATG,2017,604560,91133
ATG,2018,615552,91644
ATG,2019,641200,92127
ATG,2020,619216,92672
ATG,2021,596693,93229
ARG,2000,142765220,37070772
ARG,2001,134422270,37480492
ARG,2002,124454620,37885024
ARG,2003,133993820,38278164
ARG,2004,156712420,38668796
ARG,2005,161189180,39070504
ARG,2006,174209920,39476856
ARG,2007,173482060,39876116
ARG,2008,187243460,40273768
ARG,2009,178110960,40684344
ARG,2010,185854340,41100124
ARG,2011,189676100,41520736
ARG,2012,191292110,41952364
ARG,2013,189537740,42388268
ARG,2014,188396530,42824064
ARG,2015,191743840,43257064
ARG,2016,189920450,43668236
ARG,2017,186898880,44054616
ARG,2018,180599310,44413592
ARG,2019,178511620,44745516
ARG,2020,166879580,45036032
ARG,2021,189744130,45276788
ARM,2000,3491407,3168525
ARM,2001,3532701,3133138
ARM,2002,3076793,3105040
ARM,2003,3455560,3084107
ARM,2004,3691197,3065748
ARM,2005,4376169,3047254
ARM,2006,4401590,3026490
ARM,2007,5100210,3004398
ARM,2008,5574790,2983425
ARM,2009,4363332,2964300
ARM,2010,4252750,2946296
ARM,2011,4968878,2928984
ARM,2012,5748252,2914428
ARM,2013,5535004,2901386
ARM,2014,5604113,2889937
ARM,2015,5469323,2878598
ARM,2016,5203013,2865841
ARM,2017,5540153,2851929
ARM,2018,5825786,2836563
ARM,2019,6284110,2820604
ARM,2020,6799022,2805610
ARM,2021,7064143,2790971
ABW,2000,2377936,89117
ABW,2001,2407248,90702
ABW,2002,2436560,91798
ABW,2003,2561136,92713
ABW,2004,2616096,93554
ABW,2005,2718688,94495
ABW,2006,2715024,95621
ABW,2007,2821280,96797
ABW,2008,2656400,98006
ABW,2009,2627088,99223
ABW,2010,2506176,100354
ABW,2011,2498848,101304
ABW,2012,1348352,102126
ABW,2013,861040,102891
ABW,2014,872032,103607
ABW,2015,897680,104269
ABW,2016,883024,104890
ABW,2017,890352,105454
ABW,2018,872032,105980
ABW,2019,890352,106458
ABW,2020,890352,106597
ABW,2021,857967,106543
AUS,2000,350007680,19017968
AUS,2001,357783400,19248146
AUS,2002,362536540,19475842
AUS,2003,369441730,19699004
AUS,2004,382873440,19925060
AUS,2005,386205380,20171732
AUS,2006,392436350,20467032
AUS,2007,399676260,20830832
AUS,2008,404255700,21247876
AUS,2009,407477150,21660898
AUS,2010,405512200,22019166
AUS,2011,404256770,22357032
AUS,2012,406579740,22729272
AUS,2013,399288030,23111788
AUS,2014,393049380,23469578
AUS,2015,401378370,23820240
AUS,2016,410253600,24195706
AUS,2017,413655460,24590336
AUS,2018,415350720,24979228
AUS,2019,415811260,25357168
AUS,2020,396685200,25670052
AUS,2021,386606940,25921094
AUT,2000,66171724,8010425
AUT,2001,70171320,8039633
AUT,2002,71974936,8078994
AUT,2003,77401896,8120105
AUT,2004,77699210,8171215
AUT,2005,79097400,8227034
AUT,2006,76817416,8267771
AUT,2007,74117800,8294720
AUT,2008,73495470,8321134
AUT,2009,67315330,8342939
AUT,2010,72017330,8362829
AUT,2011,69909256,8391201
AUT,2012,67282920,8429641
AUT,2013,67776040,8479542
AUT,2014,64175904,8546066
AUT,2015,66365640,8642422
AUT,2016,67226580,8736491
AUT,2017,69608664,8797497
AUT,2018,66571892,8840518
AUT,2019,67956160,8879939
AUT,2020,62121252,8907780
AUT,2021,66018630,8922086
AZE,2000,29765310,8190341
AZE,2001,28415460,8282030
AZE,2002,28570334,8372128
AZE,2003,30487584,8462335
AZE,2004,32253040,8556168
AZE,2005,34193560,8656243
AZE,2006,34521828,8763353
AZE,2007,30036786,8878408
AZE,2008,33036510,8999697
AZE,2009,29102576,9119630
AZE,2010,27549052,9237203
AZE,2011,30209808,9359018
AZE,2012,32773342,9485577
AZE,2013,33555224,9614478
AZE,2014,34348428,9741879
AZE,2015,34682950,9863485
AZE,2016,34727330,9976254
AZE,2017,34607044,10071569
AZE,2018,34575828,10152524
AZE,2019,37737896,10232761
AZE,2020,36149228,10284952
AZE,2021,38333620,10312992
BHR,2000,19233764,711446
BHR,2001,15374893,730263
BHR,2002,15868013,748332
BHR,2003,16769491,778260
BHR,2004,17883504,833454
BHR,2005,19804052,901928
BHR,2006,19421150,970986
BHR,2007,26771124,1040545
BHR,2008,29681318,1110352
BHR,2009,28098070,1179460
BHR,2010,29075436,1213655
BHR,2011,28467646,1212086
BHR,2012,27118990,1224948
BHR,2013,31157658,1261683
BHR,2014,30899728,1311142
BHR,2015,32459652,1362157
BHR,2016,31559504,1409668
BHR,2017,32835182,1456844
BHR,2018,32636948,1487346
BHR,2019,37583132,1494195
BHR,2020,37395950,1477478
BHR,2021,38122464,1463266
BGD,2000,26524610,129193336
BGD,2001,31034908,131670488
BGD,2002,31981244,134139824
BGD,2003,33459294,136503216
BGD,2004,35945412,138789728
BGD,2005,37676584,140912592
BGD,2006,41689170,142628832
BGD,2007,42642130,144135936
BGD,2008,45300870,145421328
BGD,2009,49148070,146706816
BGD,2010,53991556,148391136
BGD,2011,56556344,150211008
BGD,2012,60707800,152090656
BGD,2013,61798984,154030144
BGD,2014,66008996,155961312
BGD,2015,73157550,157830000
BGD,2016,76203280,159784576
BGD,2017,80741780,161793968
BGD,2018,82555700,163683952
BGD,2019,100791880,165516224
BGD,2020,93614960,167420944
BGD,2021,98760296,169356240
BRB,2000,1748824,264663
BRB,2001,1651888,265384
BRB,2002,1657568,266467
BRB,2003,1699495,267509
BRB,2004,1720192,268514
BRB,2005,1762496,269489
BRB,2006,1775152,270436
BRB,2007,1802221,271460
BRB,2008,2081465,272647
BRB,2009,2000142.1,273801
BRB,2010,1845064,274717
BRB,2011,1941506,275501
BRB,2012,1803368,276207
BRB,2013,1822085,276873
